loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1073                                              min=   77  p50=   77  p95=   82  avg=   77  max=   82  (us, n=20)
1074                                              min=   74  p50=   74  p95=   92  avg=   75  max=   92  (us, n=20)
1075                                              min=   68  p50=   68  p95=   70  avg=   68  max=   70  (us, n=20)
1076                                              min=   76  p50=   77  p95=   90  avg=   78  max=   90  (us, n=20)
1077                                              min=   76  p50=   76  p95=  171  avg=   84  max=  171  (us, n=20)
1078                                              min=   74  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1079                                              min=   78  p50=   78  p95=   82  avg=   78  max=   82  (us, n=20)
1080                                              min=   76  p50=   76  p95=  109  avg=   79  max=  109  (us, n=20)
1081                                              min=   75  p50=   75  p95=   85  avg=   76  max=   85  (us, n=20)
1082                                              min=   74  p50=   75  p95=   78  avg=   74  max=   78  (us, n=20)
1083                                              min=   74  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1084                                              min=   68  p50=   69  p95=   73  avg=   68  max=   73  (us, n=20)
1085                                              min=   74  p50=   74  p95=   80  avg=   74  max=   80  (us, n=20)
1086                                              min=   74  p50=   75  p95=   99  avg=   76  max=   99  (us, n=20)
1087                                              min=   68  p50=   69  p95=   69  avg=   68  max=   69  (us, n=20)
1089                                              min=   75  p50=   75  p95=   78  avg=   75  max=   78  (us, n=20)
1090                                              min=   74  p50=   75  p95=   98  avg=   76  max=   98  (us, n=20)
1092                                              min=   73  p50=   73  p95=  140  avg=   78  max=  140  (us, n=20)
1094                                              min=   69  p50=   74  p95=  237  avg=   88  max=  237  (us, n=20)
1095                                              min=   68  p50=   69  p95=   76  avg=   69  max=   76  (us, n=20)
1096                                              min=   72  p50=   73  p95=   76  avg=   72  max=   76  (us, n=20)
1097                                              min=   67  p50=   67  p95=   71  avg=   67  max=   71  (us, n=20)
1098                                              min=   69  p50=   69  p95=   74  avg=   69  max=   74  (us, n=20)
1099                                              min=   68  p50=   69  p95=   99  avg=   72  max=   99  (us, n=20)
1100                                              min=   76  p50=   76  p95=   94  avg=   78  max=   94  (us, n=20)
1101                                              min=   65  p50=   65  p95=   78  avg=   66  max=   78  (us, n=20)
1102                                              min=   74  p50=   74  p95=  101  avg=   76  max=  101  (us, n=20)
1103                                              min=   65  p50=   65  p95=   65  avg=   65  max=   65  (us, n=20)
1104                                              min=   64  p50=   64  p95=   74  avg=   64  max=   74  (us, n=20)
1105                                              min=   65  p50=   66  p95=   76  avg=   67  max=   76  (us, n=20)
