loaded dump dir: ./src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
0                                                 min= 1249  p50= 1301  p95= 1488  avg= 1316  max= 1488  (us, n=20)
1                                                 min= 4031  p50= 4261  p95= 4623  avg= 4283  max= 4623  (us, n=20)
10                                                min=  993  p50= 1028  p95= 1174  avg= 1043  max= 1174  (us, n=20)
100                                               min= 1923  p50= 2071  p95= 2497  avg= 2081  max= 2497  (us, n=20)
101                                               min=  982  p50= 1074  p95= 1428  avg= 1112  max= 1428  (us, n=20)
102                                               min=  989  p50= 1087  p95= 1509  avg= 1106  max= 1509  (us, n=20)
103                                               min=  434  p50=  459  p95=  530  avg=  466  max=  530  (us, n=20)
104                                               min= 5375  p50= 5507  p95= 6383  avg= 5605  max= 6383  (us, n=20)
105                                               min= 4411  p50= 4584  p95= 5086  avg= 4612  max= 5086  (us, n=20)
106                                               min=  530  p50=  566  p95=  831  avg=  584  max=  831  (us, n=20)
10647                                             min= 1927  p50= 1988  p95= 2488  avg= 2009  max= 2488  (us, n=20)
10648                                             min= 2204  p50= 2298  p95= 2436  avg= 2301  max= 2436  (us, n=20)
10649                                             min=13489  p50=14091  p95=15036  avg=14110  max=15036  (us, n=20)
10650                                             min=13325  p50=14131  p95=15129  avg=14153  max=15129  (us, n=20)
10651                                             min=13789  p50=14235  p95=15176  avg=14288  max=15176  (us, n=20)
10652                                             min=12302  p50=13699  p95=15137  avg=13726  max=15137  (us, n=20)
10653                                             min=12898  p50=14883  p95=26312  avg=15880  max=26312  (us, n=20)
10654                                             min=15647  p50=21422  p95=29475  avg=21849  max=29475  (us, n=20)
10667                                             min= 4811  p50= 5642  p95= 8686  avg= 5891  max= 8686  (us, n=20)
10668                                             min= 2968  p50= 4230  p95= 5094  avg= 4182  max= 5094  (us, n=20)
10669                                             min=10304  p50=11652  p95=15185  avg=11923  max=15185  (us, n=20)
10670                                             min=10296  p50=12198  p95=17635  avg=12596  max=17635  (us, n=20)
10671                                             min=10207  p50=11895  p95=18734  avg=12527  max=18734  (us, n=20)
10672                                             min=10076  p50=11253  p95=14719  avg=11681  max=14719  (us, n=20)
10673                                             min= 5205  p50= 6412  p95= 8298  avg= 6429  max= 8298  (us, n=20)
10674                                             min=  724  p50= 1203  p95= 1403  avg= 1146  max= 1403  (us, n=20)
10675                                             min=13210  p50=15877  p95=20248  avg=15959  max=20248  (us, n=20)
10676                                             min=13722  p50=14812  p95=17264  avg=14933  max=17264  (us, n=20)
10677                                             min=12839  p50=14528  p95=19038  avg=15026  max=19038  (us, n=20)
107                                               min= 4890  p50= 5319  p95= 7714  avg= 5654  max= 7714  (us, n=20)
108                                               min= 1035  p50= 1307  p95= 1890  avg= 1389  max= 1890  (us, n=20)
1088                                              min=   83  p50=  114  p95=  136  avg=  109  max=  136  (us, n=20)
109                                               min= 3816  p50= 4272  p95= 6245  avg= 4570  max= 6245  (us, n=20)
1091                                              min=   68  p50=   69  p95=  105  avg=   78  max=  105  (us, n=20)
1093                                              min=   74  p50=  113  p95=  119  avg=  110  max=  119  (us, n=20)
11                                                min=  785  p50=  868  p95= 1585  avg=  951  max= 1585  (us, n=20)
110                                               min= 1978  p50= 2475  p95= 3073  avg= 2442  max= 3073  (us, n=20)
1109                                              min=   75  p50=   75  p95=  112  avg=   79  max=  112  (us, n=20)
111                                               min=  996  p50= 1069  p95= 1932  avg= 1185  max= 1932  (us, n=20)
112                                               min= 1841  p50= 2085  p95= 3142  avg= 2211  max= 3142  (us, n=20)
113                                               min=  789  p50=  993  p95= 1282  avg= 1003  max= 1282  (us, n=20)
114                                               min=  792  p50=  881  p95= 1562  avg=  931  max= 1562  (us, n=20)
115                                               min=  326  p50=  376  p95=  653  avg=  402  max=  653  (us, n=20)
116                                               min= 5476  p50= 6319  p95= 8538  avg= 6504  max= 8538  (us, n=20)
117                                               min= 4525  p50= 5950  p95= 7785  avg= 5944  max= 7785  (us, n=20)
118                                               min=  407  p50=  471  p95=  897  avg=  493  max=  897  (us, n=20)
119                                               min= 4540  p50= 5121  p95= 6036  avg= 5242  max= 6036  (us, n=20)
1193                                              min=   75  p50=   76  p95=  100  avg=   77  max=  100  (us, n=20)
1194                                              min=   75  p50=   77  p95=  124  avg=   88  max=  124  (us, n=20)
11953                                             min= 1533  p50= 1718  p95= 2288  avg= 1763  max= 2288  (us, n=20)
12                                                min=  331  p50=  354  p95=  403  avg=  356  max=  403  (us, n=20)
120                                               min=  919  p50= 1140  p95= 1657  avg= 1226  max= 1657  (us, n=20)
121                                               min= 4196  p50= 4909  p95= 6982  avg= 5025  max= 6982  (us, n=20)
122                                               min= 2015  p50= 2331  p95= 3003  avg= 2374  max= 3003  (us, n=20)
123                                               min=  999  p50= 1112  p95= 1818  avg= 1248  max= 1818  (us, n=20)
124                                               min= 1898  p50= 2356  p95= 3097  avg= 2389  max= 3097  (us, n=20)
125                                               min=  805  p50= 1098  p95= 1755  avg= 1135  max= 1755  (us, n=20)
126                                               min=  828  p50= 1043  p95= 1420  avg= 1031  max= 1420  (us, n=20)
127                                               min=  332  p50=  433  p95=  635  avg=  434  max=  635  (us, n=20)
128                                               min= 5600  p50= 6212  p95= 7857  avg= 6308  max= 7857  (us, n=20)
129                                               min= 4305  p50= 4766  p95= 6924  avg= 5010  max= 6924  (us, n=20)
