loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1073                                              min=   79  p50=   80  p95=  206  avg=   87  max=  206  (us, n=20)
1074                                              min=   77  p50=   78  p95=  163  avg=   85  max=  163  (us, n=20)
1075                                              min=   70  p50=   70  p95=  180  avg=   83  max=  180  (us, n=20)
1076                                              min=   78  p50=   78  p95=  192  avg=   88  max=  192  (us, n=20)
1077                                              min=   78  p50=   79  p95=  161  avg=   89  max=  161  (us, n=20)
1078                                              min=   76  p50=   79  p95=  243  avg=   93  max=  243  (us, n=20)
1079                                              min=   80  p50=   81  p95=  193  avg=   89  max=  193  (us, n=20)
1080                                              min=   78  p50=   79  p95=   96  avg=   79  max=   96  (us, n=20)
1081                                              min=   77  p50=   81  p95=  209  avg=   98  max=  209  (us, n=20)
1082                                              min=   77  p50=   77  p95=  181  avg=   83  max=  181  (us, n=20)
1083                                              min=   77  p50=   78  p95=  179  avg=   99  max=  179  (us, n=20)
1084                                              min=   71  p50=   93  p95=  134  avg=   89  max=  134  (us, n=20)
1085                                              min=   77  p50=   78  p95=   82  avg=   77  max=   82  (us, n=20)
1086                                              min=   77  p50=   77  p95=   79  avg=   77  max=   79  (us, n=20)
1087                                              min=   70  p50=   70  p95=   93  avg=   72  max=   93  (us, n=20)
1089                                              min=   77  p50=   78  p95=   82  avg=   78  max=   82  (us, n=20)
1090                                              min=   77  p50=   78  p95=   83  avg=   78  max=   83  (us, n=20)
1092                                              min=   75  p50=   76  p95=  106  avg=   78  max=  106  (us, n=20)
1094                                              min=   69  p50=   69  p95=   73  avg=   69  max=   73  (us, n=20)
1095                                              min=   71  p50=   71  p95=   76  avg=   71  max=   76  (us, n=20)
1096                                              min=   75  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1097                                              min=   69  p50=   70  p95=   74  avg=   69  max=   74  (us, n=20)
1098                                              min=   71  p50=   71  p95=   74  avg=   71  max=   74  (us, n=20)
1099                                              min=   71  p50=   71  p95=   75  avg=   71  max=   75  (us, n=20)
1100                                              min=   78  p50=   79  p95=  108  avg=   81  max=  108  (us, n=20)
1101                                              min=   67  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
1102                                              min=   76  p50=   77  p95=   81  avg=   77  max=   81  (us, n=20)
1103                                              min=   67  p50=   68  p95=   75  avg=   68  max=   75  (us, n=20)
1104                                              min=   66  p50=   67  p95=   70  avg=   67  max=   70  (us, n=20)
1105                                              min=   68  p50=   68  p95=   71  avg=   68  max=   71  (us, n=20)
1106                                              min=   72  p50=   73  p95=   77  avg=   72  max=   77  (us, n=20)
1107                                              min=   67  p50=   68  p95=   94  avg=   72  max=   94  (us, n=20)
1108                                              min=   69  p50=   69  p95=   70  avg=   69  max=   70  (us, n=20)
1110                                              min=   76  p50=   76  p95=   80  avg=   76  max=   80  (us, n=20)
1111                                              min=   72  p50=   72  p95=   78  avg=   72  max=   78  (us, n=20)
1112                                              min=   75  p50=   75  p95=   81  avg=   75  max=   81  (us, n=20)
1113                                              min=   70  p50=   70  p95=   77  avg=   70  max=   77  (us, n=20)
1114                                              min=   76  p50=   76  p95=   79  avg=   76  max=   79  (us, n=20)
1115                                              min=   69  p50=   69  p95=   78  avg=   69  max=   78  (us, n=20)
1116                                              min=   72  p50=   72  p95=   77  avg=   72  max=   77  (us, n=20)
1117                                              min=   77  p50=   77  p95=   81  avg=   77  max=   81  (us, n=20)
1118                                              min=   66  p50=   66  p95=   72  avg=   66  max=   72  (us, n=20)
1119                                              min=   81  p50=   82  p95=   92  avg=   82  max=   92  (us, n=20)
1120                                              min=   61  p50=   62  p95=   62  avg=   61  max=   62  (us, n=20)
1121                                              min=   77  p50=   78  p95=  108  avg=   80  max=  108  (us, n=20)
1122                                              min=   75  p50=   76  p95=   88  avg=   77  max=   88  (us, n=20)
1123                                              min=   57  p50=   57  p95=   65  avg=   57  max=   65  (us, n=20)
1124                                              min=   75  p50=   76  p95=   80  avg=   76  max=   80  (us, n=20)
1125                                              min=   77  p50=   78  p95=   85  avg=   78  max=   85  (us, n=20)
1126                                              min=   75  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1127                                              min=   66  p50=   66  p95=   69  avg=   66  max=   69  (us, n=20)
1128                                              min=   70  p50=   73  p95=   97  avg=   77  max=   97  (us, n=20)
1129                                              min=   77  p50=   77  p95=   82  avg=   77  max=   82  (us, n=20)
1130                                              min=   78  p50=   78  p95=   83  avg=   78  max=   83  (us, n=20)
1131                                              min=   69  p50=   70  p95=   74  avg=   70  max=   74  (us, n=20)
1132                                              min=   72  p50=   72  p95=   80  avg=   73  max=   80  (us, n=20)
1133                                              min=   69  p50=   70  p95=   76  avg=   70  max=   76  (us, n=20)
1134                                              min=   72  p50=   73  p95=   78  avg=   73  max=   78  (us, n=20)
1135                                              min=   72  p50=   77  p95=  199  avg=   88  max=  199  (us, n=20)
1136                                              min=   77  p50=   82  p95=  129  avg=   85  max=  129  (us, n=20)
1137                                              min=   79  p50=   80  p95=  107  avg=   82  max=  107  (us, n=20)
1138                                              min=   76  p50=  106  p95=  126  avg=   99  max=  126  (us, n=20)
1139                                              min=   73  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1140                                              min=   77  p50=   77  p95=   78  avg=   77  max=   78  (us, n=20)
1141                                              min=   68  p50=   71  p95=  100  avg=   75  max=  100  (us, n=20)
1142                                              min=   76  p50=   77  p95=   79  avg=   76  max=   79  (us, n=20)
1143                                              min=   72  p50=   72  p95=   75  avg=   72  max=   75  (us, n=20)
1144                                              min=   61  p50=   62  p95=   66  avg=   62  max=   66  (us, n=20)
1145                                              min=   76  p50=   76  p95=   79  avg=   76  max=   79  (us, n=20)
1146                                              min=   76  p50=   77  p95=   82  avg=   77  max=   82  (us, n=20)
1147                                              min=   77  p50=   77  p95=  173  avg=   83  max=  173  (us, n=20)
1148                                              min=   74  p50=   78  p95=  103  avg=   80  max=  103  (us, n=20)
1149                                              min=   74  p50=   74  p95=  101  avg=   76  max=  101  (us, n=20)
1150                                              min=   73  p50=   74  p95=  105  avg=   76  max=  105  (us, n=20)
1151                                              min=   71  p50=   71  p95=  109  avg=   74  max=  109  (us, n=20)
1152                                              min=   81  p50=   82  p95=  100  avg=   84  max=  100  (us, n=20)
1153                                              min=   70  p50=   76  p95=  177  avg=   87  max=  177  (us, n=20)
1154                                              min=   75  p50=   76  p95=   98  avg=   77  max=   98  (us, n=20)
1155                                              min=   78  p50=   78  p95=   80  avg=   78  max=   80  (us, n=20)
1156                                              min=   60  p50=   60  p95=   72  avg=   60  max=   72  (us, n=20)
1157                                              min=   78  p50=   78  p95=   83  avg=   78  max=   83  (us, n=20)
1158                                              min=   75  p50=   76  p95=   78  avg=   75  max=   78  (us, n=20)
1159                                              min=   68  p50=   69  p95=  153  avg=   78  max=  153  (us, n=20)
1160                                              min=   77  p50=   78  p95=   93  avg=   80  max=   93  (us, n=20)
1161                                              min=   77  p50=   78  p95=  105  avg=   81  max=  105  (us, n=20)
1162                                              min=   75  p50=   76  p95=  113  avg=   78  max=  113  (us, n=20)
1163                                              min=   79  p50=   80  p95=  132  avg=   88  max=  132  (us, n=20)
1164                                              min=   77  p50=   78  p95=  113  avg=   83  max=  113  (us, n=20)
1165                                              min=   77  p50=   77  p95=  162  avg=   95  max=  162  (us, n=20)
1166                                              min=   77  p50=   78  p95=   97  avg=   79  max=   97  (us, n=20)
1167                                              min=   77  p50=   77  p95=   82  avg=   77  max=   82  (us, n=20)
1168                                              min=   71  p50=   72  p95=   91  avg=   73  max=   91  (us, n=20)
1169                                              min=   78  p50=   79  p95=  119  avg=   85  max=  119  (us, n=20)
1170                                              min=   78  p50=   78  p95=   79  avg=   78  max=   79  (us, n=20)
1171                                              min=   72  p50=   96  p95=  151  avg=   96  max=  151  (us, n=20)
1172                                              min=   85  p50=   98  p95=  125  avg=  100  max=  125  (us, n=20)
1173                                              min=   79  p50=   90  p95=  118  avg=   90  max=  118  (us, n=20)
1174                                              min=   79  p50=   91  p95=  114  avg=   90  max=  114  (us, n=20)
1175                                              min=   72  p50=   73  p95=  111  avg=   80  max=  111  (us, n=20)
1176                                              min=   77  p50=   86  p95=  228  avg=  104  max=  228  (us, n=20)
1177                                              min=   74  p50=   76  p95=   97  avg=   77  max=   97  (us, n=20)
1178                                              min=   70  p50=   71  p95=  108  avg=   74  max=  108  (us, n=20)
1179                                              min=   72  p50=   72  p95=  101  avg=   75  max=  101  (us, n=20)
1180                                              min=   75  p50=   77  p95=   92  avg=   79  max=   92  (us, n=20)
1181                                              min=   70  p50=   71  p95=   75  avg=   70  max=   75  (us, n=20)
1182                                              min=   72  p50=   86  p95=  173  avg=   91  max=  173  (us, n=20)
1183                                              min=   72  p50=   73  p95=  100  avg=   75  max=  100  (us, n=20)
1184                                              min=   79  p50=   80  p95=   83  avg=   80  max=   83  (us, n=20)
1185                                              min=   67  p50=   68  p95=   72  avg=   67  max=   72  (us, n=20)
1186                                              min=   78  p50=   78  p95=   80  avg=   78  max=   80  (us, n=20)
1187                                              min=   68  p50=   69  p95=   71  avg=   68  max=   71  (us, n=20)
1188                                              min=   68  p50=   68  p95=   70  avg=   68  max=   70  (us, n=20)
1189                                              min=   69  p50=   70  p95=   73  avg=   70  max=   73  (us, n=20)
1190                                              min=   72  p50=   73  p95=  106  avg=   76  max=  106  (us, n=20)
1191                                              min=   68  p50=   68  p95=   68  avg=   68  max=   68  (us, n=20)
1192                                              min=   70  p50=   70  p95=   74  avg=   70  max=   74  (us, n=20)
11941                                             min=  149  p50=  151  p95=  155  avg=  151  max=  155  (us, n=20)
11942                                             min=  149  p50=  152  p95=  189  avg=  155  max=  189  (us, n=20)
11943                                             min=  148  p50=  150  p95=  180  avg=  151  max=  180  (us, n=20)
11944                                             min=  149  p50=  149  p95=  154  avg=  149  max=  154  (us, n=20)
11945                                             min=  148  p50=  150  p95=  155  avg=  150  max=  155  (us, n=20)
11946                                             min=  150  p50=  150  p95=  159  avg=  151  max=  159  (us, n=20)
11947                                             min=  150  p50=  150  p95=  155  avg=  150  max=  155  (us, n=20)
11948                                             min=  149  p50=  150  p95=  159  avg=  150  max=  159  (us, n=20)
11949                                             min=  149  p50=  156  p95=  236  avg=  178  max=  236  (us, n=20)
1195                                              min=   76  p50=   87  p95=  162  avg=   92  max=  162  (us, n=20)
11950                                             min=  150  p50=  151  p95=  161  avg=  153  max=  161  (us, n=20)
11951                                             min=  151  p50=  151  p95=  162  avg=  152  max=  162  (us, n=20)
11952                                             min=  151  p50=  156  p95=  262  avg=  185  max=  262  (us, n=20)
11954                                             min=14288  p50=15316  p95=19214  avg=15663  max=19214  (us, n=20)
11955                                             min=13919  p50=14777  p95=16415  avg=14908  max=16415  (us, n=20)
11956                                             min=13967  p50=14683  p95=15837  avg=14715  max=15837  (us, n=20)
11957                                             min=14234  p50=16370  p95=22083  avg=16573  max=22083  (us, n=20)
11958                                             min=14597  p50=19216  p95=23594  avg=18838  max=23594  (us, n=20)
11959                                             min=16236  p50=21372  p95=22954  avg=20844  max=22954  (us, n=20)
1196                                              min=   91  p50=  122  p95=  133  avg=  119  max=  133  (us, n=20)
11960                                             min=14566  p50=17617  p95=21731  avg=17698  max=21731  (us, n=20)
11961                                             min=14132  p50=16513  p95=18437  avg=16115  max=18437  (us, n=20)
1197                                              min=   70  p50=   75  p95=  115  avg=   78  max=  115  (us, n=20)
1198                                              min=   77  p50=   79  p95=  102  avg=   84  max=  102  (us, n=20)
1199                                              min=   70  p50=   94  p95=  181  avg=   97  max=  181  (us, n=20)
1200                                              min=   75  p50=   75  p95=   83  avg=   76  max=   83  (us, n=20)
1201                                              min=   79  p50=   80  p95=  101  avg=   84  max=  101  (us, n=20)
1202                                              min=   67  p50=   82  p95=  161  avg=   96  max=  161  (us, n=20)
