loaded dump dir: ./src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1355                                              min=   74  p50=   97  p95=  126  avg=   96  max=  126  (us, n=20)
136                                               min= 1766  p50= 2250  p95= 2845  avg= 2275  max= 2845  (us, n=20)
137                                               min=  823  p50= 1014  p95= 1685  avg= 1094  max= 1685  (us, n=20)
138                                               min=  822  p50=  882  p95= 1162  avg=  922  max= 1162  (us, n=20)
139                                               min=  344  p50=  463  p95=  522  avg=  446  max=  522  (us, n=20)
14                                                min= 4699  p50= 5760  p95= 7656  avg= 5929  max= 7656  (us, n=20)
140                                               min= 5854  p50= 7122  p95= 9058  avg= 7213  max= 9058  (us, n=20)
141                                               min= 5406  p50= 6117  p95= 7608  avg= 6230  max= 7608  (us, n=20)
142                                               min=  435  p50=  612  p95=  797  avg=  590  max=  797  (us, n=20)
143                                               min= 5044  p50= 6019  p95= 8015  avg= 5996  max= 8015  (us, n=20)
144                                               min=  969  p50= 1351  p95= 1883  avg= 1376  max= 1883  (us, n=20)
145                                               min= 4196  p50= 4946  p95= 6046  avg= 5061  max= 6046  (us, n=20)
146                                               min= 2076  p50= 2475  p95= 3295  avg= 2507  max= 3295  (us, n=20)
147                                               min= 1138  p50= 1495  p95= 2258  avg= 1512  max= 2258  (us, n=20)
148                                               min= 1945  p50= 2652  p95= 3584  avg= 2613  max= 3584  (us, n=20)
15                                                min= 1156  p50= 1496  p95= 2047  avg= 1559  max= 2047  (us, n=20)
151                                               min=  343  p50=  480  p95=  579  avg=  461  max=  579  (us, n=20)
152                                               min= 7024  p50= 7727  p95= 9184  avg= 7808  max= 9184  (us, n=20)
153                                               min= 4873  p50= 5787  p95= 6957  avg= 5741  max= 6957  (us, n=20)
154                                               min=  419  p50=  442  p95=  620  avg=  486  max=  620  (us, n=20)
155                                               min= 5222  p50= 5979  p95= 7583  avg= 6251  max= 7583  (us, n=20)
157                                               min= 4474  p50= 5808  p95= 7114  avg= 5670  max= 7114  (us, n=20)
158                                               min= 2321  p50= 3039  p95= 4340  avg= 3148  max= 4340  (us, n=20)
16                                                min= 1939  p50= 2533  p95= 3647  avg= 2533  max= 3647  (us, n=20)
160                                               min= 1752  p50= 2165  p95= 2981  avg= 2209  max= 2981  (us, n=20)
163                                               min=  367  p50=  491  p95=  931  avg=  503  max=  931  (us, n=20)
164                                               min= 6644  p50= 7720  p95= 9869  avg= 7777  max= 9869  (us, n=20)
165                                               min= 4850  p50= 6224  p95= 6745  avg= 5906  max= 6745  (us, n=20)
166                                               min= 4716  p50= 5668  p95= 6495  avg= 5635  max= 6495  (us, n=20)
167                                               min= 5233  p50= 6689  p95= 7801  avg= 6654  max= 7801  (us, n=20)
168                                               min= 4970  p50= 6134  p95= 7783  avg= 6149  max= 7783  (us, n=20)
169                                               min=  422  p50=  627  p95=  742  avg=  590  max=  742  (us, n=20)
17                                                min= 6121  p50= 6848  p95= 7877  avg= 6938  max= 7877  (us, n=20)
170                                               min= 5232  p50= 6153  p95= 7080  avg= 6076  max= 7080  (us, n=20)
172                                               min= 4469  p50= 5162  p95= 6370  avg= 5234  max= 6370  (us, n=20)
173                                               min= 2127  p50= 2466  p95= 2873  avg= 2501  max= 2873  (us, n=20)
1734                                              min=  146  p50=  184  p95=  246  avg=  182  max=  246  (us, n=20)
1735                                              min=  150  p50=  156  p95=  230  avg=  166  max=  230  (us, n=20)
1736                                              min=  150  p50=  158  p95=  372  avg=  204  max=  372  (us, n=20)
1737                                              min=  146  p50=  149  p95=  270  avg=  171  max=  270  (us, n=20)
1738                                              min=  150  p50=  155  p95=  239  avg=  170  max=  239  (us, n=20)
1739                                              min=  150  p50=  163  p95=  236  avg=  167  max=  236  (us, n=20)
1740                                              min=  150  p50=  153  p95=  250  avg=  174  max=  250  (us, n=20)
1741                                              min=  150  p50=  193  p95=  311  avg=  202  max=  311  (us, n=20)
1742                                              min=  224  p50=  233  p95=  239  avg=  232  max=  239  (us, n=20)
1743                                              min=  151  p50=  272  p95=  448  avg=  254  max=  448  (us, n=20)
1746                                              min=14060  p50=16428  p95=18603  avg=16414  max=18603  (us, n=20)
1747                                              min=14009  p50=15742  p95=18505  avg=15877  max=18505  (us, n=20)
1748                                              min=14370  p50=16241  p95=18530  avg=16045  max=18530  (us, n=20)
1749                                              min=14649  p50=16638  p95=18983  avg=16714  max=18983  (us, n=20)
175                                               min= 1697  p50= 2046  p95= 2846  avg= 2078  max= 2846  (us, n=20)
1750                                              min=14089  p50=15656  p95=18814  avg=16123  max=18814  (us, n=20)
1751                                              min=13851  p50=15722  p95=20465  avg=15883  max=20465  (us, n=20)
178                                               min=  383  p50=  525  p95=  802  avg=  539  max=  802  (us, n=20)
179                                               min= 6005  p50= 7903  p95= 9434  avg= 7588  max= 9434  (us, n=20)
18                                                min=  163  p50=  227  p95=  260  avg=  222  max=  260  (us, n=20)
180                                               min= 4873  p50= 5594  p95= 7182  avg= 5601  max= 7182  (us, n=20)
181                                               min=  409  p50=  543  p95=  824  avg=  539  max=  824  (us, n=20)
182                                               min= 5059  p50= 5913  p95= 7622  avg= 5953  max= 7622  (us, n=20)
18362                                             min=  686  p50=  882  p95= 1283  avg=  935  max= 1283  (us, n=20)
18363                                             min= 8015  p50= 9390  p95=11023  avg= 9460  max=11023  (us, n=20)
18364                                             min=  997  p50= 1469  p95= 2305  avg= 1480  max= 2305  (us, n=20)
18365                                             min=  692  p50=  837  p95= 1151  avg=  887  max= 1151  (us, n=20)
18366                                             min= 1598  p50= 1939  p95= 3043  avg= 2017  max= 3043  (us, n=20)
18367                                             min= 1948  p50= 2489  p95= 2995  avg= 2449  max= 2995  (us, n=20)
18386                                             min= 5516  p50= 6982  p95= 7772  avg= 6823  max= 7772  (us, n=20)
18387                                             min= 2707  p50= 2998  p95= 4183  avg= 3184  max= 4183  (us, n=20)
18392                                             min= 6118  p50= 7170  p95= 7838  avg= 7076  max= 7838  (us, n=20)
18393                                             min=  985  p50= 1195  p95= 1609  avg= 1236  max= 1609  (us, n=20)
184                                               min= 4346  p50= 6296  p95= 7242  avg= 6125  max= 7242  (us, n=20)
185                                               min= 2453  p50= 2896  p95= 3690  avg= 2881  max= 3690  (us, n=20)
187                                               min= 2199  p50= 2659  p95= 3556  avg= 2675  max= 3556  (us, n=20)
19                                                min= 1358  p50= 1486  p95= 1667  avg= 1489  max= 1667  (us, n=20)
190                                               min=  361  p50=  622  p95=  734  avg=  595  max=  734  (us, n=20)
191                                               min= 7873  p50= 8736  p95=10730  avg= 8859  max=10730  (us, n=20)
192                                               min= 4833  p50= 6151  p95= 8477  avg= 6294  max= 8477  (us, n=20)
193                                               min=  422  p50=  430  p95=  594  avg=  455  max=  594  (us, n=20)
194                                               min= 4934  p50= 6007  p95= 7229  avg= 5937  max= 7229  (us, n=20)
196                                               min= 4544  p50= 5098  p95= 6494  avg= 5214  max= 6494  (us, n=20)
19672                                             min= 1538  p50= 1822  p95= 2504  avg= 1884  max= 2504  (us, n=20)
197                                               min= 1898  p50= 2481  p95= 4312  avg= 2466  max= 4312  (us, n=20)
199                                               min= 1650  p50= 2093  p95= 2919  avg= 2096  max= 2919  (us, n=20)
