loaded dump dir: .\src\Benchmark\RegressionCases\coverage  (803 samples)  iters=1

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1355                                              min=  669  p50=  669  p95=  669  avg=  669  max=  669  (us, n=1)
136                                               min= 1672  p50= 1672  p95= 1672  avg= 1672  max= 1672  (us, n=1)
137                                               min=  801  p50=  801  p95=  801  avg=  801  max=  801  (us, n=1)
138                                               min=  876  p50=  876  p95=  876  avg=  876  max=  876  (us, n=1)
139                                               min=  338  p50=  338  p95=  338  avg=  338  max=  338  (us, n=1)
14                                                min= 4508  p50= 4508  p95= 4508  avg= 4508  max= 4508  (us, n=1)
140                                               min= 5379  p50= 5379  p95= 5379  avg= 5379  max= 5379  (us, n=1)
141                                               min= 4428  p50= 4428  p95= 4428  avg= 4428  max= 4428  (us, n=1)
142                                               min=  417  p50=  417  p95=  417  avg=  417  max=  417  (us, n=1)
143                                               min= 5209  p50= 5209  p95= 5209  avg= 5209  max= 5209  (us, n=1)
144                                               min=  930  p50=  930  p95=  930  avg=  930  max=  930  (us, n=1)
145                                               min= 4011  p50= 4011  p95= 4011  avg= 4011  max= 4011  (us, n=1)
146                                               min= 2107  p50= 2107  p95= 2107  avg= 2107  max= 2107  (us, n=1)
147                                               min=  997  p50=  997  p95=  997  avg=  997  max=  997  (us, n=1)
148                                               min= 1624  p50= 1624  p95= 1624  avg= 1624  max= 1624  (us, n=1)
15                                                min= 1081  p50= 1081  p95= 1081  avg= 1081  max= 1081  (us, n=1)
151                                               min=  327  p50=  327  p95=  327  avg=  327  max=  327  (us, n=1)
152                                               min= 5772  p50= 5772  p95= 5772  avg= 5772  max= 5772  (us, n=1)
153                                               min= 4316  p50= 4316  p95= 4316  avg= 4316  max= 4316  (us, n=1)
154                                               min=  425  p50=  425  p95=  425  avg=  425  max=  425  (us, n=1)
155                                               min= 5496  p50= 5496  p95= 5496  avg= 5496  max= 5496  (us, n=1)
157                                               min= 3998  p50= 3998  p95= 3998  avg= 3998  max= 3998  (us, n=1)
158                                               min= 1754  p50= 1754  p95= 1754  avg= 1754  max= 1754  (us, n=1)
16                                                min= 1721  p50= 1721  p95= 1721  avg= 1721  max= 1721  (us, n=1)
160                                               min= 2187  p50= 2187  p95= 2187  avg= 2187  max= 2187  (us, n=1)
163                                               min=  451  p50=  451  p95=  451  avg=  451  max=  451  (us, n=1)
164                                               min= 5402  p50= 5402  p95= 5402  avg= 5402  max= 5402  (us, n=1)
165                                               min= 4290  p50= 4290  p95= 4290  avg= 4290  max= 4290  (us, n=1)
166                                               min= 4224  p50= 4224  p95= 4224  avg= 4224  max= 4224  (us, n=1)
167                                               min= 4297  p50= 4297  p95= 4297  avg= 4297  max= 4297  (us, n=1)
168                                               min= 4202  p50= 4202  p95= 4202  avg= 4202  max= 4202  (us, n=1)
169                                               min=  413  p50=  413  p95=  413  avg=  413  max=  413  (us, n=1)
17                                                min= 6031  p50= 6031  p95= 6031  avg= 6031  max= 6031  (us, n=1)
170                                               min= 4484  p50= 4484  p95= 4484  avg= 4484  max= 4484  (us, n=1)
172                                               min= 3753  p50= 3753  p95= 3753  avg= 3753  max= 3753  (us, n=1)
173                                               min= 1752  p50= 1752  p95= 1752  avg= 1752  max= 1752  (us, n=1)
1734                                              min=  143  p50=  143  p95=  143  avg=  143  max=  143  (us, n=1)
1735                                              min=  142  p50=  142  p95=  142  avg=  142  max=  142  (us, n=1)
1736                                              min=  147  p50=  147  p95=  147  avg=  147  max=  147  (us, n=1)
1737                                              min=  147  p50=  147  p95=  147  avg=  147  max=  147  (us, n=1)
1738                                              min=  142  p50=  142  p95=  142  avg=  142  max=  142  (us, n=1)
1739                                              min=  147  p50=  147  p95=  147  avg=  147  max=  147  (us, n=1)
1740                                              min=  146  p50=  146  p95=  146  avg=  146  max=  146  (us, n=1)
1741                                              min=  152  p50=  152  p95=  152  avg=  152  max=  152  (us, n=1)
1742                                              min=  147  p50=  147  p95=  147  avg=  147  max=  147  (us, n=1)
1743                                              min=  146  p50=  146  p95=  146  avg=  146  max=  146  (us, n=1)
1746                                              min=13974  p50=13974  p95=13974  avg=13974  max=13974  (us, n=1)
1747                                              min=13575  p50=13575  p95=13575  avg=13575  max=13575  (us, n=1)
1748                                              min=13377  p50=13377  p95=13377  avg=13377  max=13377  (us, n=1)
1749                                              min=13531  p50=13531  p95=13531  avg=13531  max=13531  (us, n=1)
