loaded dump dir: ../../../src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1000                                              min=   67  p50=   67  p95=   94  avg=   69  max=   94  (us, n=20)
1001                                              min=   73  p50=   73  p95=   79  avg=   73  max=   79  (us, n=20)
1002                                              min=   72  p50=   73  p95=   91  avg=   73  max=   91  (us, n=20)
1003                                              min=   68  p50=   68  p95=  160  avg=   73  max=  160  (us, n=20)
1004                                              min=   78  p50=   78  p95=   96  avg=   79  max=   96  (us, n=20)
1005                                              min=   74  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1006                                              min=   73  p50=   74  p95=   90  avg=   74  max=   90  (us, n=20)
1007                                              min=   67  p50=   68  p95=   74  avg=   68  max=   74  (us, n=20)
1008                                              min=   71  p50=   72  p95=   83  avg=   72  max=   83  (us, n=20)
1009                                              min=   69  p50=   69  p95=   74  avg=   69  max=   74  (us, n=20)
1010                                              min=   66  p50=   66  p95=   88  avg=   67  max=   88  (us, n=20)
1011                                              min=   68  p50=   68  p95=   89  avg=   69  max=   89  (us, n=20)
1012                                              min=   72  p50=   72  p95=   87  avg=   73  max=   87  (us, n=20)
1013                                              min=   67  p50=   67  p95=   73  avg=   67  max=   73  (us, n=20)
1014                                              min=   67  p50=   67  p95=  125  avg=   70  max=  125  (us, n=20)
1015                                              min=   68  p50=   69  p95=  248  avg=   99  max=  248  (us, n=20)
1016                                              min=   75  p50=   75  p95=   95  avg=   76  max=   95  (us, n=20)
1017                                              min=   64  p50=   64  p95=   68  avg=   64  max=   68  (us, n=20)
1018                                              min=   73  p50=   73  p95=   88  avg=   73  max=   88  (us, n=20)
1019                                              min=   64  p50=   64  p95=   74  avg=   64  max=   74  (us, n=20)
1020                                              min=   63  p50=   63  p95=  186  avg=   70  max=  186  (us, n=20)
1021                                              min=   65  p50=   65  p95=   71  avg=   65  max=   71  (us, n=20)
1022                                              min=   69  p50=   69  p95=   76  avg=   69  max=   76  (us, n=20)
1023                                              min=   64  p50=   64  p95=   67  avg=   64  max=   67  (us, n=20)
1024                                              min=   65  p50=   66  p95=   75  avg=   66  max=   75  (us, n=20)
1025                                              min=   71  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1026                                              min=   72  p50=   72  p95=  110  avg=   75  max=  110  (us, n=20)
1027                                              min=   68  p50=   68  p95=   93  avg=   70  max=   93  (us, n=20)
1028                                              min=   71  p50=   74  p95=   86  avg=   74  max=   86  (us, n=20)
1029                                              min=   66  p50=   66  p95=   71  avg=   66  max=   71  (us, n=20)
1030                                              min=   72  p50=   72  p95=   93  avg=   73  max=   93  (us, n=20)
1031                                              min=   64  p50=   65  p95=   68  avg=   64  max=   68  (us, n=20)
1032                                              min=   68  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
1033                                              min=   72  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1034                                              min=   62  p50=   62  p95=   66  avg=   62  max=   66  (us, n=20)
1035                                              min=   77  p50=   77  p95=  101  avg=   78  max=  101  (us, n=20)
1036                                              min=   57  p50=   57  p95=   60  avg=   57  max=   60  (us, n=20)
1037                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1038                                              min=   71  p50=   71  p95=   76  avg=   71  max=   76  (us, n=20)
1039                                              min=   54  p50=   54  p95=   56  avg=   54  max=   56  (us, n=20)
1040                                              min=   71  p50=   71  p95=   74  avg=   71  max=   74  (us, n=20)
1041                                              min=   74  p50=   74  p95=   76  avg=   74  max=   76  (us, n=20)
1042                                              min=   70  p50=   70  p95=   75  avg=   70  max=   75  (us, n=20)
1043                                              min=   62  p50=   62  p95=   83  avg=   64  max=   83  (us, n=20)
1044                                              min=   66  p50=   66  p95=   81  avg=   68  max=   81  (us, n=20)
1045                                              min=   73  p50=   73  p95=  108  avg=   75  max=  108  (us, n=20)
1046                                              min=   73  p50=   73  p95=   80  avg=   73  max=   80  (us, n=20)
1047                                              min=   65  p50=   66  p95=  144  avg=   86  max=  144  (us, n=20)
1048                                              min=   67  p50=   67  p95=   72  avg=   67  max=   72  (us, n=20)
1049                                              min=   65  p50=   66  p95=   71  avg=   66  max=   71  (us, n=20)
1050                                              min=   68  p50=   69  p95=   69  avg=   68  max=   69  (us, n=20)
1051                                              min=   67  p50=   68  p95=  177  avg=   73  max=  177  (us, n=20)
1052                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1053                                              min=   74  p50=   74  p95=   85  avg=   74  max=   85  (us, n=20)
1054                                              min=   71  p50=   71  p95=  486  avg=   94  max=  486  (us, n=20)
1055                                              min=   68  p50=   68  p95=   71  avg=   68  max=   71  (us, n=20)
1056                                              min=   72  p50=   72  p95=   87  avg=   73  max=   87  (us, n=20)
1057                                              min=   63  p50=   63  p95=   71  avg=   63  max=   71  (us, n=20)
1058                                              min=   71  p50=   72  p95=  106  avg=   73  max=  106  (us, n=20)
1059                                              min=   67  p50=   68  p95=   76  avg=   68  max=   76  (us, n=20)
1060                                              min=   58  p50=   59  p95=   83  avg=   60  max=   83  (us, n=20)
1061                                              min=   72  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1062                                              min=   73  p50=   73  p95=   84  avg=   73  max=   84  (us, n=20)
1063                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1064                                              min=   70  p50=   71  p95=   85  avg=   71  max=   85  (us, n=20)
1065                                              min=   71  p50=   71  p95=  166  avg=   75  max=  166  (us, n=20)
1066                                              min=   70  p50=   70  p95=   73  avg=   70  max=   73  (us, n=20)
1067                                              min=   71  p50=   71  p95=   75  avg=   71  max=   75  (us, n=20)
10678                                             min=13357  p50=14084  p95=18695  avg=14550  max=18695  (us, n=20)
10679                                             min=13874  p50=14991  p95=22667  avg=15560  max=22667  (us, n=20)
1068                                              min=   82  p50=   82  p95=   86  avg=   82  max=   86  (us, n=20)
10680                                             min=13443  p50=13997  p95=14830  avg=14024  max=14830  (us, n=20)
1069                                              min=   69  p50=   69  p95=  186  avg=   75  max=  186  (us, n=20)
1070                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1071                                              min=   76  p50=   76  p95=  116  avg=   78  max=  116  (us, n=20)
1072                                              min=   58  p50=   59  p95=   64  avg=   59  max=   64  (us, n=20)
1073                                              min=   76  p50=   77  p95=  196  avg=   83  max=  196  (us, n=20)
1074                                              min=   74  p50=   74  p95=   96  avg=   76  max=   96  (us, n=20)
1075                                              min=   67  p50=   68  p95=   74  avg=   68  max=   74  (us, n=20)
1076                                              min=   75  p50=   76  p95=   85  avg=   77  max=   85  (us, n=20)
1077                                              min=   75  p50=   75  p95=   94  avg=   77  max=   94  (us, n=20)
1078                                              min=   73  p50=   74  p95=  101  avg=   76  max=  101  (us, n=20)
1079                                              min=   77  p50=   77  p95=   85  avg=   78  max=   85  (us, n=20)
1080                                              min=   75  p50=   75  p95=   81  avg=   75  max=   81  (us, n=20)
1081                                              min=   74  p50=   76  p95=  146  avg=   86  max=  146  (us, n=20)
1082                                              min=   74  p50=   74  p95=   93  avg=   75  max=   93  (us, n=20)
1083                                              min=   74  p50=   74  p95=  198  avg=   81  max=  198  (us, n=20)
1084                                              min=   68  p50=   69  p95=  106  avg=   70  max=  106  (us, n=20)
1085                                              min=   74  p50=   75  p95=   81  avg=   75  max=   81  (us, n=20)
1086                                              min=   74  p50=   75  p95=   94  avg=   76  max=   94  (us, n=20)
1087                                              min=   68  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
1089                                              min=   75  p50=   75  p95=  101  avg=   76  max=  101  (us, n=20)
1090                                              min=   75  p50=   75  p95=   82  avg=   75  max=   82  (us, n=20)
1092                                              min=   72  p50=   73  p95=   88  avg=   73  max=   88  (us, n=20)
1094                                              min=   66  p50=   67  p95=   71  avg=   67  max=   71  (us, n=20)
1095                                              min=   68  p50=   68  p95=   76  avg=   69  max=   76  (us, n=20)
1096                                              min=   72  p50=   73  p95=   76  avg=   73  max=   76  (us, n=20)
1097                                              min=   67  p50=   67  p95=   94  avg=   69  max=   94  (us, n=20)
1098                                              min=   69  p50=   69  p95=  100  avg=   72  max=  100  (us, n=20)
1099                                              min=   69  p50=   72  p95=   98  avg=   74  max=   98  (us, n=20)
1100                                              min=   76  p50=   76  p95=   97  avg=   78  max=   97  (us, n=20)
1101                                              min=   64  p50=   64  p95=   70  avg=   65  max=   70  (us, n=20)
1102                                              min=   74  p50=   74  p95=  207  avg=   82  max=  207  (us, n=20)
1103                                              min=   65  p50=   65  p95=   94  avg=   67  max=   94  (us, n=20)
1104                                              min=   64  p50=   64  p95=  101  avg=   68  max=  101  (us, n=20)
1105                                              min=   65  p50=   65  p95=   91  avg=   67  max=   91  (us, n=20)
1106                                              min=   69  p50=   70  p95=   77  avg=   70  max=   77  (us, n=20)
1107                                              min=   64  p50=   65  p95=   97  avg=   69  max=   97  (us, n=20)
1108                                              min=   66  p50=   67  p95=   90  avg=   68  max=   90  (us, n=20)
1110                                              min=   73  p50=   73  p95=   80  avg=   73  max=   80  (us, n=20)
1111                                              min=   69  p50=   69  p95=   77  avg=   69  max=   77  (us, n=20)
1112                                              min=   72  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1113                                              min=   67  p50=   67  p95=   71  avg=   67  max=   71  (us, n=20)
1114                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1115                                              min=   65  p50=   66  p95=   70  avg=   66  max=   70  (us, n=20)
1116                                              min=   69  p50=   69  p95=   74  avg=   69  max=   74  (us, n=20)
1117                                              min=   73  p50=   74  p95=   94  avg=   75  max=   94  (us, n=20)
1118                                              min=   63  p50=   63  p95=   68  avg=   63  max=   68  (us, n=20)
1119                                              min=   78  p50=   78  p95=   80  avg=   78  max=   80  (us, n=20)
