loaded dump dir: ../../../src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1034                                              min=   63  p50=   63  p95=   65  avg=   63  max=   65  (us, n=20)
1035                                              min=   77  p50=   77  p95=   79  avg=   77  max=   79  (us, n=20)
1036                                              min=   58  p50=   58  p95=   58  avg=   58  max=   58  (us, n=20)
1037                                              min=   73  p50=   74  p95=   78  avg=   74  max=   78  (us, n=20)
1038                                              min=   71  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1039                                              min=   54  p50=   54  p95=   54  avg=   54  max=   54  (us, n=20)
1040                                              min=   71  p50=   71  p95=   72  avg=   71  max=   72  (us, n=20)
1041                                              min=   74  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1042                                              min=   71  p50=   71  p95=   74  avg=   71  max=   74  (us, n=20)
1043                                              min=   63  p50=   63  p95=   67  avg=   63  max=   67  (us, n=20)
1044                                              min=   66  p50=   66  p95=   70  avg=   66  max=   70  (us, n=20)
1045                                              min=   73  p50=   73  p95=   76  avg=   73  max=   76  (us, n=20)
1046                                              min=   74  p50=   74  p95=   76  avg=   74  max=   76  (us, n=20)
1047                                              min=   66  p50=   66  p95=   68  avg=   66  max=   68  (us, n=20)
1048                                              min=   68  p50=   68  p95=   71  avg=   68  max=   71  (us, n=20)
1049                                              min=   66  p50=   66  p95=   67  avg=   66  max=   67  (us, n=20)
1050                                              min=   69  p50=   69  p95=   69  avg=   69  max=   69  (us, n=20)
1051                                              min=   68  p50=   68  p95=   68  avg=   68  max=   68  (us, n=20)
1052                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1053                                              min=   74  p50=   75  p95=   77  avg=   75  max=   77  (us, n=20)
1054                                              min=   71  p50=   71  p95=   75  avg=   71  max=   75  (us, n=20)
1055                                              min=   68  p50=   69  p95=   72  avg=   68  max=   72  (us, n=20)
1056                                              min=   72  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1057                                              min=   63  p50=   64  p95=   66  avg=   63  max=   66  (us, n=20)
1058                                              min=   72  p50=   72  p95=   75  avg=   72  max=   75  (us, n=20)
1059                                              min=   68  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
1060                                              min=   58  p50=   58  p95=   59  avg=   58  max=   59  (us, n=20)
1061                                              min=   72  p50=   72  p95=   72  avg=   72  max=   72  (us, n=20)
1062                                              min=   73  p50=   73  p95=   91  avg=   74  max=   91  (us, n=20)
1063                                              min=   72  p50=   72  p95=   75  avg=   72  max=   75  (us, n=20)
1064                                              min=   70  p50=   70  p95=   75  avg=   70  max=   75  (us, n=20)
1065                                              min=   70  p50=   70  p95=   72  avg=   70  max=   72  (us, n=20)
1066                                              min=   69  p50=   70  p95=   72  avg=   69  max=   72  (us, n=20)
1067                                              min=   67  p50=   68  p95=   70  avg=   68  max=   70  (us, n=20)
10678                                             min=13348  p50=14099  p95=15792  avg=14130  max=15792  (us, n=20)
10679                                             min=13369  p50=14033  p95=14673  avg=14052  max=14673  (us, n=20)
1068                                              min=   81  p50=   82  p95=   96  avg=   83  max=   96  (us, n=20)
10680                                             min=13120  p50=13649  p95=14594  avg=13772  max=14594  (us, n=20)
1069                                              min=   69  p50=   69  p95=   71  avg=   69  max=   71  (us, n=20)
1070                                              min=   72  p50=   72  p95=  319  avg=   84  max=  319  (us, n=20)
1071                                              min=   75  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1072                                              min=   58  p50=   58  p95=  177  avg=   64  max=  177  (us, n=20)
1073                                              min=   75  p50=   76  p95=   80  avg=   76  max=   80  (us, n=20)
1074                                              min=   73  p50=   76  p95=  211  avg=   90  max=  211  (us, n=20)
1075                                              min=   66  p50=   67  p95=   72  avg=   67  max=   72  (us, n=20)
1076                                              min=   75  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1077                                              min=   74  p50=   75  p95=   78  avg=   75  max=   78  (us, n=20)
1078                                              min=   73  p50=   83  p95=  111  avg=   87  max=  111  (us, n=20)
1079                                              min=   77  p50=   77  p95=   80  avg=   77  max=   80  (us, n=20)
1080                                              min=   75  p50=   75  p95=   76  avg=   75  max=   76  (us, n=20)
1081                                              min=   74  p50=   75  p95=   88  avg=   75  max=   88  (us, n=20)
1082                                              min=   75  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1083                                              min=   74  p50=   74  p95=   77  avg=   74  max=   77  (us, n=20)
1084                                              min=   68  p50=   68  p95=   71  avg=   68  max=   71  (us, n=20)
1085                                              min=   74  p50=   79  p95=  115  avg=   88  max=  115  (us, n=20)
1086                                              min=   75  p50=   75  p95=   77  avg=   75  max=   77  (us, n=20)
1087                                              min=   70  p50=   70  p95=   75  avg=   70  max=   75  (us, n=20)
1089                                              min=   75  p50=   75  p95=   80  avg=   75  max=   80  (us, n=20)
1090                                              min=   75  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
